OBJECT_ID,RA,DEC,1_mag_0,1_mag_err_0,DATE-OBS_1_mag_0
216681581120776704,56.1023918160356,32.1675211450798,15.540513,0.043010863,2009-03-19T05:12:51.935
216681688495526016,56.0999334508073,32.1833495950869,12.608478,0.010723943,2009-03-19T05:12:51.935
216681615480515200,56.1054301992852,32.1702175375994,15.419937,0.040516506,2009-03-19T05:12:51.935
216681615480430976,56.11355281526,32.17702058221,13.791815,0.018599151,2009-03-19T05:12:51.935
216681688494408576,56.09067601856,32.18731421711,18.340258,0.21932537,2009-03-19T05:12:51.935
216681791574735744,56.1065458384108,32.2083189086988,13.220978,0.014249732,2009-03-19T05:12:51.935
216681757214998656,56.1309759462116,32.1915303871882,14.632764,0.02766752,2009-03-19T05:12:51.935
216681791574739072,56.1065983495833,32.1918186139952,11.952016,0.0079157131,2009-03-19T05:12:51.935
216681787278619520,56.0989829131291,32.1988932796377,15.803473,0.049076419,2009-03-19T05:12:51.935
216681718559730816,56.11612563942,32.181195664,12.9258,0.012423554,2009-03-19T05:12:51.935
216681718559627520,56.1183683330016,32.189577260885,13.891205,0.019486142,2009-03-19T05:12:51.935
216681752919139072,56.126174789678,32.1931110454902,15.34579,0.039063089,2009-03-19T05:12:51.935
216681791573145344,56.10627488312,32.1919892291,11.949877,0.0079078948,2009-03-19T05:12:51.935
216681757213401984,56.13081713571,32.19135700257,14.633282,0.02767436,2009-03-19T05:12:51.935
216681757213400064,56.13358041696,32.19553370813,10.622996,0.0042874456,2009-03-19T05:12:51.935
216681757214997504,56.1331624767023,32.1955200822098,10.623428,0.0042882996,2009-03-19T05:12:51.935
216681929013704448,56.0176457337502,32.1607138610694,15.435086,0.040820816,2009-03-19T05:12:51.935
216681855998071296,56.0293670758458,32.1456555645452,18.847247,0.31796256,2009-03-19T05:12:51.935
216681929013704192,56.0208398914353,32.1649397311747,13.036077,0.013076189,2009-03-19T05:12:51.935
216681890357576704,56.0416433132964,32.1615973186592,15.599723,0.044298628,2009-03-19T05:12:51.935
216681929012609280,56.02445348989,32.15106092884,18.875653,0.32489619,2009-03-19T05:12:51.935
216682032092063488,56.06230299636,32.18153231989,18.769246,0.29979643,2009-03-19T05:12:51.935
216682100812391168,56.0531834293929,32.1820289134381,15.870749,0.050781565,2009-03-19T05:12:51.935
216682027797374976,56.0648180014836,32.1709148056943,17.115058,0.099724517,2009-03-19T05:12:51.935
216682032092915328,56.0588524899633,32.1745415103568,13.624487,0.0171988,2009-03-19T05:12:51.935
216682203890484736,55.99556688398,32.17323427535,19.225335,0.4263291,2009-03-19T05:12:51.935
216682203891609984,55.999672920632,32.1799200409332,15.3636,0.039406829,2009-03-19T05:12:51.935
216682238251347456,55.9995168953916,32.1877910325187,13.753412,0.018267698,2009-03-19T05:12:51.935
216682130875987968,56.0097434709836,32.1709888408808,15.973856,0.053529525,2009-03-19T05:12:51.935
216682165235496320,56.02369966852,32.17912127831,17.056961,0.096405972,2009-03-19T05:12:51.935
216682238249774464,56.0100298930094,32.1947685399009,18.327041,0.2172895,2009-03-19T05:12:51.935
216682233958032512,56.0099554560484,32.1908910237418,19.536457,0.54771533,2009-03-19T05:12:51.935
216682238251450240,56.0080321370787,32.18936744331,16.775034,0.082114459,2009-03-19T05:12:51.935
216682306969701376,56.0478835651486,32.2033790794715,20.312425,1.0530129,2009-03-19T05:12:51.935
216682375690295296,56.0240061524719,32.2080017324999,13.844693,0.01906573,2009-03-19T05:12:51.935
216682337034202368,56.0147038397315,32.1953241917341,17.142516,0.10134237,2009-03-19T05:12:51.935
216682302674465024,56.0442977319668,32.1956709344756,16.659528,0.077019273,2009-03-19T05:12:51.935
216682337034207488,56.0271372508764,32.2004179127239,18.198634,0.1986595,2009-03-19T05:12:51.935
216682478767926400,56.0661311484393,32.1971428474322,18.724058,0.28983049,2009-03-19T05:12:51.935
216682513129243264,56.077406202225,32.2147599510231,12.863291,0.012068406,2009-03-19T05:12:51.935
216682444409767552,56.0913068955055,32.2032092575228,13.462071,0.015943092,2009-03-19T05:12:51.935
