_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
056.3153678370707	+32.1368267611398	056.31536035251	0.0571	+32.13680285239	0.0227	216654200704824064	2.1973	0.0639	-1.472	0.130	-5.553	0.067	0	3.9321e+04	1.2809e+01	14.2018	0.0004	1.0036e+04	2.1883e+01	15.3475	0.0024	4.4990e+04	3.8755e+01	13.1291	0.0009	2.2183			3537.50	2.9437	1.4927	2.29	0.740
056.3379446174200	+32.1533496730000	056.33794461742	3.0166	+32.15334967300	1.4865	216654235064706944							0	7.5086e+01	9.6973e-01	20.9995	0.0140	5.7667e+01	7.3842e+00	20.9491	0.1390	1.2172e+02	7.3943e+00	19.5485	0.0660	1.4005							
056.3258298168586	+32.1612489594035	056.32584499343	1.3734	+32.16124764621	0.5890	216654303783015680	1.0078	1.7733	2.984	2.308	-0.305	1.917	0	1.1815e+02	8.3098e-01	20.5073	0.0076	8.0480e+01	7.4245e+00	20.5872	0.1002	1.6566e+02	8.8002e+00	19.2138	0.0577	1.3733							
056.3369203851730	+32.1364232984688	056.33692452912	0.8781	+32.13640827208	0.4188	216654235062958208	0.0244	1.0214	0.815	1.695	-3.490	1.108	0	1.7391e+02	8.2857e-01	20.0875	0.0052	1.0314e+02	1.0441e+01	20.3178	0.1099	2.2351e+02	6.9958e+00	18.8887	0.0340	1.4291							
056.3365449901775	+32.1445640031122	056.33654572751	0.0828	+32.14454867964	0.0368	216654235064560384	0.8316	0.1001	0.145	0.179	-3.559	0.108	0	5.6419e+03	3.1638e+00	16.3098	0.0006	1.8144e+03	1.1521e+01	17.2046	0.0069	5.8227e+03	7.0390e+00	15.3491	0.0013	1.8554			3928.50	2.3320	1.1865	1.62	0.563
056.3300892833101	+32.1557325459578	056.33008837806	0.1947	+32.15573000568	0.0887	216654303784036480	-0.2068	0.2365	-0.178	0.409	-0.590	0.252	0	1.2085e+03	1.7585e+00	17.9827	0.0016	3.1011e+02	9.7409e+00	19.1226	0.0341	1.4488e+03	1.1418e+01	16.8594	0.0086	2.2632							
056.3257651131400	+32.1479564991321	056.32575951429	0.6975	+32.14792962816	0.3181	216654303784037504	0.3305	0.8210	-1.101	1.375	-6.241	0.829	0	2.1669e+02	9.3458e-01	19.8488	0.0047	5.9284e+01	6.2308e+00	20.9190	0.1141	3.4555e+02	9.0826e+00	18.4156	0.0285	2.5034							
056.3370943230353	+32.1543809738216	056.33711537233	0.1912	+32.15435308674	0.0846	216654235064559232	3.1782	0.2296	4.139	0.396	-6.477	0.237	0	1.7369e+03	2.5490e+00	17.5889	0.0016	1.9556e+02	8.0172e+00	19.6232	0.0445	2.7768e+03	1.7410e+01	16.1531	0.0068	3.4701							
056.0008319442914	+31.9727348631739	056.00085852981	0.2500	+31.97270458651	0.1224	216669658291208448	3.4180	0.2823	5.238	0.452	-7.032	0.272	0	1.5738e+03	2.7833e+00	17.6960	0.0019	1.0436e+02	1.1570e+01	20.3051	0.1204	2.7298e+03	2.0896e+01	16.1716	0.0083	4.1335							
055.9776750408700	+32.0082985249600	055.97767504087	0.7953	+32.00829852496	0.4237	216672686244092928							0	4.8438e+03	1.4543e+01	16.4754	0.0033	4.6387e+02	8.5534e+00	18.6854	0.0200	7.8760e+03	3.0238e+01	15.0212	0.0042	3.6642			3840.44				
056.0659744113383	+31.9935537815995	056.06599473829	0.3382	+31.99352083549	0.1496	216674674813091072	2.7556	0.3638	4.004	0.718	-7.652	0.372	0	9.7341e+02	2.0981e+00	18.2176	0.0023	7.4728e+01	6.3621e+00	20.6677	0.0924	1.7075e+03	1.6395e+01	16.6810	0.0104	3.9867							
