# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Tue Nov  7 20:56:06 CET 2023
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system:  2MASS + Spitzer (IRAC+MIPS)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Jmag    Hmag    Ksmag   [3.6]mag  [4.5]mag  [5.8]mag  [8.0]mag  [24]mag  [70]mag  [160]mag
0.0152 0.01508 6.69897 0.5967580676 2.3189102927    0.596 -0.656  3.5526  4.032    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.5e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.411 4.598 3.883 3.674 3.498 3.475 3.432 3.385 2.892 2.967 3.092
0.0152 0.01508 6.69897 0.6000000238 2.3211213258    0.600 -0.653  3.5532  4.033    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.51e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.402 4.590 3.875 3.666 3.492 3.470 3.426 3.380 2.887 2.963 3.088
0.0152 0.01508 6.69897 0.6076534986 2.3262335750    0.607 -0.643  3.5550  4.037    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.55e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.378 4.572 3.854 3.647 3.476 3.458 3.414 3.367 2.877 2.955 3.080
0.0152 0.01508 6.69897 0.6351088881 2.3434127335    0.635 -0.609  3.5613  4.047    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.72e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.292 4.504 3.777 3.577 3.419 3.411 3.367 3.318 2.837 2.922 3.047
0.0152 0.01508 6.69897 0.6499999762 2.3520353107    0.650 -0.592  3.5644  4.052    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.8e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.250 4.470 3.740 3.543 3.391 3.388 3.344 3.294 2.817 2.906 3.031
0.0152 0.01508 6.69897 0.6560071111 2.3553865311    0.656 -0.585  3.5657  4.055    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.83e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.232 4.456 3.724 3.529 3.379 3.379 3.334 3.284 2.809 2.899 3.024
0.0152 0.01508 6.69897 0.6845991611 2.3704145278    0.685 -0.549  3.5723  4.063    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.03e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.142 4.385 3.646 3.459 3.321 3.331 3.287 3.234 2.768 2.865 2.989
0.0152 0.01508 6.69897 0.7000000477 2.3779267258    0.700 -0.531  3.5756  4.068    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.14e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.097 4.349 3.607 3.424 3.293 3.307 3.263 3.209 2.747 2.847 2.971
0.0152 0.01508 6.69897 0.7191466689 2.3867519975    0.719 -0.479  3.5926  4.096    0  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -4.46e-14      0.00 7.092e-01 2.755e-01 2.732e-03 7.405e-04 6.719e-03 -1.000 1.527e-02 5.966 4.264 3.520 3.358 3.253 3.290 3.247 3.188 2.747 2.860 2.981
0.0152 0.01508 6.69897 0.7500000000 2.3998889087    0.750 -0.393  3.6201  4.139    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -5.07e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.753 4.118 3.406 3.274 3.206 3.265 3.228 3.168 2.751 2.878 2.999
