RA,DEC,EW_HA
56.093071,32.200188,-99.20044464742392
55.935912,32.138232,-27.85469798451657
55.995495,32.190876,-38.270137149592756
56.160599,32.133514,-23.595095819442644
56.046892,32.103341,-17.614621432082558
55.883594,32.104812,-15.17970161673457
56.239895,32.20668,-0.30453928571090355
56.09409,32.03157,-4.123708039523152
55.867548,32.033091,-54.112294231270276
55.984175,32.143356,-5.304695231566322
56.076338,31.963327,-0.23974264827579467
55.922893,32.249902,-3.784984476632921
55.951137,32.206975,1.0572099437079392
56.233915,32.154204,-4.52447391617539
56.300501,32.174752,1.206210040803755
56.274026,32.052198,-2.175398329478966
56.186325,32.067356,-43.297590548630055
55.855654,32.247412,0.22450000122044295
56.158249,32.058247,-34.633491412901414
56.047664,32.327786,-6.876326416944682
56.26945,32.277434,2.322223393046943
56.089834,32.252706,-29.501753114583515
56.149526,32.264794,-4.160923943024187
55.85567,32.24738,1.9748368990879202
56.12999,32.10615,3.0209910578827013
56.27402,32.05223,-1.5285704123157735
55.87372,31.96921,0.44118500068692845
56.28318,32.0672,-2.7662315651726366
56.18632,32.06737,-29.5870084954336
55.88361,32.10482,-2.3661391899082505
56.047664,32.327786,-7.31253535240501
56.149526,32.264794,-3.7154171265436973
56.26945,32.277434,2.0871163978056853
56.290814,32.325051,0.44468674019106535
55.944406,32.311535,0.828970164251325
56.124913,32.322936,-7.988780281213841
56.089834,32.252706,-11.202332662096508
55.877706,32.218355,-0.7844050913730574
55.953408,32.264274,-13.77561802428483
55.937681,32.146633,-3.1175153886373694
55.995459,32.190842,-26.365618564093243
56.017102,32.12136,-3.4693178064084518
56.155845,32.150218,-2.9182742880332277
56.080134,32.126292,-10.354227218453365
56.094061,32.031541,-3.243857725443659
56.203392,32.222691,-8.162069295980668
